name,type,customers,customers__002,customers__003,nationality,mass,manufacturer,reused,dragon__capsule,dragon__mass_returned_kg,dragon__mass_returned_lbs,dragon__flight_time_sec,dragon__manifest,dragon__water_landing,dragon__land_landing,launch,mass_kg,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id,norad_ids__-,norad_ids
FalconSAT-2,Satellite,DARPA,,,United States,43,SSTL,FALSE,null,null,null,null,null,null,null,5eb87cd9ffd86e000604b32a,20,LEO,geocentric,low-earth,null,null,null,400,500,39,null,null,null,null,null,null,null,5eb0e4b5b6c3bb0006eeb1e1,,
RatSat,Satellite,SpaceX,,,United States,363,SpaceX,FALSE,null,null,null,null,null,null,null,5eb87cdbffd86e000604b32d,165,LEO,geocentric,low-earth,null,6991.99,0.0012669,604.997,622.713,9.347,96.975,null,2021-01-12T17:56:17.000Z,14.84914709,74.7621,41.2544,318.8611,5eb0e4b7b6c3bb0006eeb1e5,33393,
RazakSAT,Satellite,ATSB,,,Malaysia,440,Satrec,FALSE,null,null,null,null,null,null,null,5eb87cdcffd86e000604b32e,200,LEO,geocentric,low-earth,null,7048.889,0.0017109,658.694,682.813,8.9885,98.161,null,2021-01-13T05:06:56.000Z,14.66971755,335.0541,263.5578,96.2664,5eb0e4b7b6c3bb0006eeb1e6,35578,
CASSIOPE,Satellite,MDA,,,Canada,1100,MDA,FALSE,null,null,null,null,null,null,null,5eb87ce1ffd86e000604b334,500,PO,geocentric,low-earth,null,7166.389,0.0654739,319.042,1257.465,80.9678,100.626,2,2021-01-13T05:10:19.000Z,14.31041308,94.936,49.187,316.4226,5eb0e4bbb6c3bb0006eeb1ee,39265,
SES-8,Satellite,SES,,,Luxembourg,6990,Orbital ATK,FALSE,null,null,null,null,null,null,null,5eb87ce2ffd86e000604b335,3170,GTO,geocentric,geostationary,95,42165.135,0.0001035,35782.636,35791.365,0.0576,1436.117,15,2021-01-12T22:56:18.000Z,1.00270344,247.9763,104.7527,198.9926,5eb0e4bbb6c3bb0006eeb1ef,39460,
Thaicom 6,Satellite,Thaicom,,,Thailand,7330,Orbital ATK,FALSE,null,null,null,null,null,null,null,5eb87ce3ffd86e000604b336,3325,GTO,geocentric,geostationary,78.5,42165.075,0.000078,35783.652,35790.229,0.0676,1436.114,15,2021-01-12T21:17:28.000Z,1.00270558,119.9493,131.1037,259.3984,5eb0e4bbb6c3bb0006eeb1f0,39500,
Orbcomm-OG2-M1,Satellite,Orbcomm,,,United States,2901,Boeing,FALSE,null,null,null,null,null,null,null,5eb87ce4ffd86e000604b338,1316,LEO,geocentric,low-earth,null,6641.01,0.0090712,202.633,323.117,51.6528,89.765,5,2012-10-08T03:42:59.000Z,16.04175555,280.7278,54.0639,355.0595,5eb0e4bcb6c3bb0006eeb1f2,38847,
AsiaSat 8,Satellite,AsiaSat,,,Hong Kong,9998,SSL,FALSE,null,null,null,null,null,null,null,5eb87ce5ffd86e000604b339,4535,GTO,geocentric,geostationary,105.5,42165.096,0.0001198,35781.909,35792.012,0.0124,1436.115,15,2021-01-13T06:40:42.000Z,1.00270486,42.0686,263.3838,263.81,5eb0e4bcb6c3bb0006eeb1f3,40107,
AsiaSat 6,Satellite,AsiaSat,,,Hong Kong,9762,SSL,FALSE,null,null,null,null,null,null,null,5eb87ce6ffd86e000604b33a,4428,GTO,geocentric,geostationary,120,42164.673,0.0000148,35785.914,35787.162,0.0621,1436.093,15,2021-01-12T21:29:24.000Z,1.00271992,275.1982,14.8973,264.742,5eb0e4bcb6c3bb0006eeb1f4,40141,
DSCOVR,Satellite,NASA,NOAA,USAF,United States,1260,Sierra Nevada,FALSE,null,null,null,null,null,null,null,5eb87ceaffd86e000604b33d,570,ES-L1,heliocentric,L1-point,null,null,null,null,null,null,null,5,null,null,null,null,null,5eb0e4bdb6c3bb0006eeb1f7,40390,
